appid	游戏名	原因
223850	3DMark(跑分软件)	非游戏/工具软件,2026-08-10剔除
365670	Blender(3D软件)	非游戏/工具软件,2026-08-10剔除
431960	Wallpaper Engine(壁纸软件)	非游戏/工具软件,2026-08-10剔除
1281930	tModLoader(泰拉瑞亚Mod加载器)	非游戏/工具软件,2026-08-10剔除
1920960	虚拟桌宠模拟器(桌宠软件)	非游戏/工具软件,2026-08-10剔除
2828500	The Jackbox Megapicker(启动器)	非游戏/工具软件,2026-08-10剔除
235900	RPG Maker XP(游戏制作工具)	非游戏/工具,2026-08-11剔除
714010	Aimlabs(瞄准训练工具)	非游戏/工具,2026-08-11剔除
877280	SAO Utils 2(桌面工具)	非游戏/工具,2026-08-11剔除
993090	无损缩放Lossless Scaling(工具)	非游戏/工具,2026-08-11剔除
1118310	RetroArch(模拟器前端)	非游戏/工具,2026-08-11剔除
3419430	Bongo Cat(桌面小工具)	非游戏/工具,2026-08-11剔除
